32405	Salón General	BANCO 14
32406	Salón General	BANCO 14
32407	Salón General	BANCO 14
32408	Salón General	BANCO 14
32421	Salón General	BANCO 07
32422	Salón General	BANCO 07
32423	Salón General	BANCO 09
32424	Salón General	BANCO 09
32425	Salón General	BANCO 09
32426	Salón Fumadores	TE-10
32427	Salón Fumadores	TE-10
32428	Salón Fumadores	TE-11
32429	Salón Fumadores	TE-11
32430	Salón Fumadores	TE-12
32431	Salón Fumadores	TE-12
32432	Salón General	BANCO 01
32433	Salón General	BANCO 01
32434	Salón General	BANCO 01
32435	Salón General	BANCO 01
32436	Salón General	BANCO 01
32437	Salón General	BANCO 01
32438	Salón General	BANCO 01
32439	Salón General	BANCO 01
32440	Salón General	BANCO 07
32441	Salón General	BANCO 07
32442	Salón General	BANCO 16
32443	Salón General	BANCO 04
32444	Salón General	BANCO 04
32445	Salón General	BANCO 04
32446	Salón General	BANCO 08
32447	Salón General	BANCO 08
32448	Salón General	Banco 17
32449	Salón General	Banco 17
32450	Salón General	Banco 17
32451	Salón General	Banco 17
32452	Salón General	Banco 17
32453	Salón General	Banco 17
32454	Salón General	Banco 17
32455	Salón General	Banco 17
32456	Salón General	BANCO 07
32457	Salón General	BANCO 16
32458	Salón Preferencial Fumadores	TVP-02
32459	Salón Preferencial Fumadores	TVP-02
32460	Salón Preferencial Fumadores	TVP-02
32461	Salón Preferencial Fumadores	TVP-02
32462	Salón Preferencial Fumadores	TVP-01
32463	Salón Preferencial Fumadores	TVP-01

